トピック,役割,ターゲットKW,検索Vol,KD,CPC($),現在順位,ABGランク,ABG基準,GSCクリック(3M),GSC表示回数(3M),GSC CTR,優先度,施策タイプ,既存URL,リライト基準ルール,見込み増加/月,備考（リライト方針エグゼクティブサマリー）
Topic 1: ファクタリング 個人事業主,ピラー,ファクタリング 個人事業主,2000,1,8.00,圏外,G,31位以下 or 圏外＝要対策,-,-,-,高,新規作成,-,【新規基準】ターゲットKWでの既存記事がない / Vol 1000以上 / KD 5以下,+200~400,"ピラー記事として「個人事業主がファクタリングを利用する完全ガイド」を新規作成。個人事業主のファクタリング利用条件・必要書類・審査基準・手数料相場・利用手順を網羅的に解説。サービス比較表を設置しペイトナーの強み（手数料・即日対応・オンライン完結）を自然訴求。内部リンクでクラスター記事全体のハブとする。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 個人,4800,5,6.00,22位,B,11-30位＝改善余地あり,-,-,-,高,リライト or 新規,https://paytner.co.jp/（TOPで22位）,【リライト基準B】11-30位 → 記事構成・網羅性改善で10位以内を狙える,+100~200,"現状TOPページで22位。専用の記事を新規作成し、「個人向けファクタリングとは」「法人ファクタリングとの違い」「個人で使える条件」「おすすめサービス比較」を構成。Vol最大（4,800）のため、ピラーの実質的な集客エンジンとなる記事。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 審査,1700,1,5.00,26位,B,11-30位＝改善余地あり,-(GSCデータなし),-,-,高,リライト,https://paytner.co.jp/paytter/factoring/2882/,【リライト基準B】11-30位 → コンテンツ拡充・検索意図再整合で上位化,+85~120,"現在26位。記事の検索意図を「ファクタリング審査に通るためのポイント」に再整合。審査基準の具体的解説（売掛先の信用度・請求書の種類・利用実績）を追加。ペイトナーの審査通過率や審査時間の実データを挿入し、E-E-A-Tを強化。「審査落ち」への内部リンクも設置。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 手数料 (+相場),2700+600,1,4.50,36位,G,31位以下 or 圏外＝要対策,-,-,-,高,リライト,https://paytner.co.jp/paytter/factoring/4567/（推定）,【リライト基準G】31位以下 → 記事を全面刷新。構成・タイトル・見出しを再設計,+120~180,"現在36位で実質ノーインプレッション状態。「ファクタリング手数料の相場は？」を主題に全面リライト。2社間/3社間の手数料比較表、手数料が決まる要因（売掛先規模・請求金額・利用回数）、手数料を下げるコツを体系的に解説。ペイトナーの手数料体系を具体的に明示し、競合比較で優位性を示す。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング デメリット / メリット,900+1300,1,1.60,25位,B,11-30位＝改善余地あり,-,-,-,中,リライト,https://paytner.co.jp/paytter/factoring/4603/,【リライト基準B】11-30位 → 網羅性とオリジナル情報追加で差別化,+110~155,"現在25位。「メリット・デメリット」を1記事で網羅する構成に変更。デメリットの解決策（高手数料→低手数料サービス選び方、取引先への通知→2社間利用）を具体的に提示。実際のユーザー体験談や利用シーンの図解を追加し、滞在時間を改善。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 個人事業主 即日,600,5,7.24,圏外,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】高CPC($7.24) / Topic 1・2の橋渡し記事,+30~60,"Topic 1と2の交差点となる記事。「個人事業主が即日でファクタリングを利用する方法」を軸に、申込から入金までのタイムライン、即日対応の条件（申込時間・必要書類事前準備）、ペイトナーの即日入金フローを詳細解説。"
Topic 1: ファクタリング 個人事業主,クラスター,請求書買取 個人事業主,250,0,12.00,圏外,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】CPC最高帯($12) / KD: 0 / Topic 1・3の橋渡し,+25~50,"「請求書買取」という平易な表現で検索するユーザー向け。ファクタリングと請求書買取の違い（実質同じ）を冒頭で明確化し、個人事業主が利用できる請求書買取サービス比較を提供。CPC $12と極めて高収益なため、CVRを意識した構成で作成。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 審査落ち,250,0,7.00,圏外,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】顕在ニーズKW / 審査記事からの内部リンク先,+25~50,"審査に落ちたユーザー（=緊急度が高い）向け。審査落ちの主な原因5つ、再審査のコツ、審査が甘いサービスの選び方を解説。ペイトナーの審査通過率の高さをデータで示し、CTAへの動線を強化。コンバージョン率が非常に高いKW。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 必要書類,800,0,7.00,圏外,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】Vol 800 / KD: 0 / 実用系コンテンツ,+80~160,"「ファクタリングに必要な書類チェックリスト」を主題に作成。請求書・本人確認書類・銀行口座情報など、サービス別の必要書類比較表を設置。ペイトナーは必要書類が少ない（請求書のみ）ことを強調し、申込ハードルの低さを訴求。"
Topic 2: ファクタリング 即日,ピラー,ファクタリング 即日,6100,14,9.00,52位,G,31位以下 or 圏外＝要対策,-(GSCクエリ未出現),-,-,高,リライト（大幅改修）,https://paytner.co.jp/paytter/factoring/11604/,【リライト基準G-最優先】Vol最大級(6100) / 現在52位→全面刷新が必須,+350~420,"最重要リライト対象。現在52位で実質的にインデックスされているだけの状態。タイトル・見出し構成を「即日ファクタリングおすすめ○選｜最短○時間で入金」に刷新。即日対応サービスの比較表（入金スピード・手数料・対応時間）を設置。申込→審査→入金のステップ図解を追加。ペイトナーの即日入金実績データを挿入しE-E-A-T強化。記事長を5000字以上に拡充。"
Topic 2: ファクタリング 即日,クラスター,資金調達 即日,3700,0,0.15,38位,G,31位以下 or 圏外＝要対策,-,-,-,高,リライト,https://paytner.co.jp/paytter/factoring/12062/,【リライト基準G】Vol 3700と大きいが38位 → ファクタリング以外の資金調達手段も含め網羅性向上,+180~260,"現在38位。「即日で資金調達する方法まとめ」を主題に、ファクタリング・ビジネスローン・カードローン・クラウドファンディングなど手段を比較し、ファクタリングが最も手軽であることを比較表で示す。KD 0のため構成改善だけで大幅順位UP可能。"
Topic 2: ファクタリング 即日,クラスター,ファクタリング 土日 / 土日対応,700+450,1,6.00,圏外,G,31位以下 or 圏外＝要対策,-(GSCにペイトナー土日のみ),-(GSCにペイトナー土日のみ),-,中,新規作成,-,【新規基準】Vol 1150合算 / KD: 1 / 緊急性の高い顕在ニーズ,+60~115,"「土日・祝日でもファクタリングは使える？」を主題に新規作成。土日対応のファクタリング会社比較、土日に申し込む際の注意点（審査時間・入金タイミング）、ペイトナーの営業時間・土日対応状況を明示。GSCでは「ペイトナー 土日」で242クリックあり、ブランド流入を非ブランドKWに転換する戦略記事。"
Topic 2: ファクタリング 即日,クラスター,オンラインファクタリング,400,21,6.00,58位,G,31位以下 or 圏外＝要対策,-,-,-,低,リライト,https://paytner.co.jp/paytter/service/11856/,【リライト基準G】58位かつKD: 21とやや高め → 中長期改善対象,+10~20,"現在58位でKDも21とやや高め。記事の主題を「オンライン完結型ファクタリングの選び方」に絞り、来店不要・Web完結のメリットを強調。ペイトナーのオンライン完結フローを図解で示す。優先度は低いが、Topic 2ピラーからの内部リンクで徐々に順位改善を狙う。"
Topic 3: 請求書買い取り,ピラー,請求書買い取り / 請求書 買取,1500,0,12.00,17位(5486),B,11-30位＝改善余地あり,-,-,-,高,リライト（5486を主軸に）,https://paytner.co.jp/paytter/factoring/5486/,【リライト基準B-高収益】KD: 0 / CPC: $12 / 17位→3位以内で大幅流入増,+100~140,"CPC $12.00と全KW中最高単価帯。現在17位の/factoring/5486/を主軸に、タイトルを「請求書買取サービスおすすめ比較｜即日現金化の方法」に変更。請求書買取の仕組み・メリット・手数料比較・利用手順を網羅。ペイトナーの請求書買取サービスとしてのポジショニングを明確化。KD: 0のため、コンテンツ改善だけで3位以内が十分狙える。"
Topic 3: 請求書買い取り,クラスター,請求書 先払い,200,0,5.00,8位,A,1-10位＝上位表示済み,-(sakibaraiで約179クリック),-(約9260表示),1.59%,中,リライト強化,https://paytner.co.jp/sakibarai,【リライト基準A-維持強化】8位→3位以内に引き上げ / サービスページのため内容拡充余地あり,+65~100,"現在8位で唯一のAランク。サービスページ（/sakibarai）としてすでにランクイン。コンテンツセクションを追加し「請求書先払いとは？仕組みとメリット」の解説を充実。FAQセクションを追加してロングテールKW（フリーランス 請求書 先払い等）を拾う。CTAボタンの配置を最適化しCVR向上も同時に狙う。"
Topic 3: 請求書買い取り,クラスター,請求書 現金化,400,0,13.00,圏外,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】CPC $13（最高値）/ KD: 0 / 高CVR見込み,+40~80,"CPC $13.00と全KW中最高。「請求書を現金化する方法」を主題に、ファクタリング（請求書買取）との同義性を解説。「現金化」という言葉のネガティブイメージを払拭しつつ、合法的な資金調達手段としてのポジショニングを確立。ペイトナーを安全な請求書現金化サービスとして訴求。"
Topic 3: 請求書買い取り,クラスター,請求書買取 おすすめ,100,0,11.00,圏外,G,31位以下 or 圏外＝要対策,-,-,-,低,新規作成,-,【新規基準】比較検討フェーズKW / CPC $11 / CVR高い,+10~20,"「請求書買取サービスおすすめ○選」として比較記事を作成。ペイトナーを含む主要サービスの手数料・入金スピード・対応金額・審査の甘さを比較表で整理。客観的な比較の中でペイトナーの優位性（低手数料・即日入金・少額対応）を自然に示す。"
Topic 4: フリーランス ファクタリング 少額,ピラー,フリーランス ファクタリング 少額,20,-,3.50,圏外,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】指定トピックKW / ニッチだが高CVR / 複合ピラー,+15~30,"「フリーランスが少額からファクタリングを利用する方法」を主題とする複合ピラー。1万円〜の少額利用可能なサービス比較、フリーランスの資金繰り課題、ファクタリング活用のタイミングを解説。ペイトナーの少額対応（1万円〜）を最大の差別化ポイントとして訴求。"
Topic 4: フリーランス ファクタリング 少額,クラスター,フリーランス ファクタリング,500,3,8.00,24位,B,11-30位＝改善余地あり,-,-,-,中,新規作成,-,【新規基準】Vol 500 / 現在TOPで24位→専用記事で10位以内,+25~50,"現在TOPページで24位。専用記事を新規作成し「フリーランス向けファクタリング完全ガイド」として独立。請求書発行〜買取までのフロー、フリーランス特有の審査ポイント（取引先の信用度・継続取引の有無）、確定申告での処理方法を解説。"
Topic 4: フリーランス ファクタリング 少額,クラスター,ファクタリング 少額,500,1,5.36,58位,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】Vol 500 / KD: 1 / 58位→専用記事で上位化,+50~100,"「少額ファクタリングおすすめサービス比較」として新規作成。1万円・5万円・10万円などの金額帯別に利用可能なサービスを整理。少額利用時の手数料率の注意点、少額でも審査に通るコツを解説。ペイトナーの最低利用金額の低さを競合との差別化ポイントに。"
Topic 4: フリーランス ファクタリング 少額,クラスター,給料ファクタリング / 給与ファクタリング,1000+600,1,0.90,42位,G,31位以下 or 圏外＝要対策,13（GSC: 給料ファクタリング）,932,1.39%,中,リライト,https://paytner.co.jp/paytter/factoring/7557/,【リライト基準G】Vol合計1600だが42位 → コンテンツ方針転換が必要,+80~110,"現在42位。「給料ファクタリング」は法的にグレーなイメージが強いKW。記事の方針を「給料ファクタリングとは？違法性と安全な代替手段」にリポジショニング。給料ファクタリングのリスク→合法的な請求書ファクタリング（ペイトナー等）への誘導という構成にし、ユーザーの不安を解消しつつ自社サービスへ導く。"
Topic 4: フリーランス ファクタリング 少額,クラスター,ファクタリング 仕組み,1100,5,1.20,圏外,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】Vol 1100 / KD: 5 / 初心者向け教育コンテンツ,+55~110,"「ファクタリングの仕組みを図解で解説」を主題に新規作成。2社間・3社間の仕組みの違い、お金の流れ、銀行融資との比較を図解入りでわかりやすく解説。初心者がファクタリングを理解するための入り口記事として、全トピッククラスターへの内部リンクハブにもなる。"
Topic 4: フリーランス ファクタリング 少額,クラスター,フリーランス 請求書買取,80,0,4.50,圏外,G,31位以下 or 圏外＝要対策,-,-,-,低,新規作成,-,【新規基準】Topic 3・4の橋渡し / KD: 0,+10~20,"「フリーランスが請求書を買い取ってもらう方法」として新規作成。フリーランス特化の請求書買取サービス比較、利用条件（継続的な取引があること等）、買取金額の目安を解説。Topic 3（請求書買取）とTopic 4（フリーランス向け）の橋渡し記事。"
