トピック,役割,ターゲットKW,検索Vol,現在順位,GSCクリック(3M),GSC表示(3M),GSC CTR,見込み増加/月,優先度,施策実施時期,施策タイプ,記事URL,備考（リライト方針エグゼクティブサマリー）
T1: ファクタリング 個人事業主,ピラー,ファクタリング 個人事業主,2000,圏外,-,-,-,400,高,2026/03/05,新規作成,,「個人事業主がファクタリングを利用する完全ガイド」を新規作成。利用条件・必要書類・審査基準・手数料相場・利用手順を網羅。ペイトナーの強み（低手数料・即日・オンライン完結）を自然訴求。全クラスター記事への内部リンクハブ。
T1: ファクタリング 個人事業主,クラスター,ファクタリング  個人事業主 審査,0-10,26位,-,-,-,120,高,2026/04/01,リライト,https://paytner.co.jp/paytter/freelance/5614/,審査基準の具体解説（売掛先信用度・請求書種類・利用実績）追加。ペイトナーの審査通過率・審査時間の実データ挿入でE-E-A-T強化。
T1: ファクタリング 個人事業主,クラスター,ファクタリング 個人事業主 手数料 (+相場),0-10,36位,-,-,-,180,高,2026/04/01,リライト,https://paytner.co.jp/paytter/factoring/4567/,2社間/3社間の手数料比較表、手数料決定要因（売掛先規模・金額・回数）、下げるコツを体系解説。ペイトナーの手数料体系を明示し競合比較で優位性を示す。
T1: ファクタリング 個人事業主,クラスター,ファクタリング 個人事業主 デメリット / メリット,0-10,25位,-,-,-,155,中,2026/04/01,リライト,https://paytner.co.jp/paytter/factoring/4603/,メリット・デメリットを1記事で網羅。デメリットの解決策を具体提示。ユーザー体験談や利用シーン図解追加。
T1: ファクタリング 個人事業主,クラスター,ファクタリング 個人事業主 必要書類,0-10,圏外,-,-,-,160,中,2026/04/01,リライト,https://paytner.co.jp/paytter/factoring/11888/,必要書類チェックリスト。サービス別比較表設置。ペイトナーは請求書のみで申込可能な点を強調。
T1: ファクタリング 個人事業主,クラスター,ファクタリング 個人事業主 仕組み,0-10,圏外,-,-,-,110,中,2026/04/01,新規作成,,2社間・3社間の仕組み図解。銀行融資との比較。全クラスターへの内部リンクハブ。
T1: ファクタリング 個人事業主,クラスター,ファクタリング 個人事業主 審査落ち,0-10,圏外,-,-,-,50,中,2026/04/01,新規作成,,審査落ちの原因5つ、再審査のコツ、審査が甘いサービス選び方。ペイトナーの審査通過率データでCTA強化。
T1: ファクタリング 個人事業主,クラスター,ファクタリング 個人事業主 審査 甘い,0-10,圏外,-,-,-,80,中,2026/04/01,新規作成,,審査が甘いファクタリング会社の特徴と選び方。審査基準の違い（売掛先重視vs申込者重視）を解説。
T1: ファクタリング 個人事業主,クラスター,ファクタリング 個人事業主 審査 通らない,0-10,圏外,-,-,-,20,低,2026/04/01,リライト,https://paytner.co.jp/paytter/factoring/2882/,審査に通らない理由と対策。「審査落ち」記事からの内部リンク先。緊急度の高いユーザー向け。
T1: ファクタリング 個人事業主,クラスター,請求書買取 個人事業主,0-10,圏外,-,-,-,50,中,2026/05/01,リライト,https://paytner.co.jp/paytter/factoring/5486/,ファクタリング＝請求書買取の同義性を冒頭で明確化。個人事業主向け買取サービス比較。
T1: ファクタリング 個人事業主,クラスター,2社間ファクタリング/3社間ファクタリング,0-10,圏外,-,-,-,20,低,,吸収,https://paytner.co.jp/paytter/freelance/5614/,3社間ファクタリングの仕組みと2社間との比較。法的な安全性の高さを訴求。
T2: ファクタリング 即日,ピラー,ファクタリング 個人事業主 即日,600,32位,-,-,-,60,高,2026/03/05,リライト,https://paytner.co.jp/paytter/factoring/11604/,タイトル刷新「即日ファクタリングおすすめ○選｜最短○時間で入金」。比較表（入金スピード・手数料・対応時間）設置。ステップ図解追加。5000字以上に拡充。
T2: ファクタリング 即日,クラスター,資金調達 即日,3700,38位,-,-,-,260,高,2026/05/01,リライト,https://paytner.co.jp/paytter/factoring/12062/,ファクタリング・ビジネスローン・カードローン等の即日資金調達手段を比較。ファクタリングが最も手軽であることを比較表で示す。
T2: ファクタリング 即日,クラスター,ファクタリング 土日 / 土日対応,1150,圏外,"242
(ペイトナー土日)",447,-,115,中,2026/05/01,新規作成,-,土日対応ファクタリング会社比較。GSCで「ペイトナー 土日」に242クリックあり、非ブランドKWへの転換を狙う。
T2: ファクタリング 即日,クラスター,ファクタリング  即日,6100,32位,-,-,-,60,中,,吸収,https://paytner.co.jp/paytter/factoring/11604/,個人事業主が即日でファクタリングを利用する方法。申込→入金のタイムライン解説。
T2: ファクタリング 即日,クラスター,ファクタリング 即日 少額,150,圏外,-,-,-,30,低,,吸収,https://paytner.co.jp/paytter/factoring/11978/,少額でも即日入金可能なサービス一覧。ペイトナーの最低利用金額・即日入金の条件を解説。
T3: ファクタリング 個人事業主 比較,ピラー,ファクタリング 個人事業主 比較,10,圏外,-,-,-,350,高,2026/03/05,新規作成,-,「個人事業主向けファクタリング会社おすすめ○選【比較表付き】」。手数料・入金速度・対応金額・審査の甘さで比較。CVR最高の記事タイプ。
T3: ファクタリング 個人事業主 比較,クラスター,ファクタリング 個人事業主 おすすめ,4200,圏外,-,-,-,350,高,2026/05/01,新規作成,,ファクタリング会社おすすめランキング。個人・法人問わず網羅的に比較。T6ピラーとの差別化は対象者の広さ。
T3: ファクタリング 個人事業主 比較,クラスター,ファクタリング 個人事業主 大手,1500,57位,-,-,-,150,中,2026/05/01,新規作成,,大手ファクタリング会社の特徴比較。知名度・資本金・実績で整理。
T3: ファクタリング 個人事業主 比較,クラスター,ファクタリング 個人事業主 乗り換え,500,35位,-,-,-,35,中,2026/05/01,リライト,https://paytner.co.jp/paytter/factoring/11892/,乗り換えのメリット（手数料改善・入金速度UP）と手順を解説。ペイトナーへの乗り換え事例。
T3: ファクタリング 個人事業主 比較,クラスター,ファクタリング 個人事業主 手数料 安い,400,10位,-,-,-,40,中,2026/05/01,リライト,https://paytner.co.jp/paytter/factoring/12019/,手数料が安いファクタリング会社TOP5。手数料の仕組みと安さの理由を解説。
T3: ファクタリング 個人事業主 比較,クラスター,ファクタリング 個人事業主 評判,150,圏外,-,-,-,20,低,2026/06/01,新規作成,,主要ファクタリング会社の評判・口コミまとめ。会社別の特徴と向いている人。
T3: ファクタリング 個人事業主 比較,クラスター,ファクタリング 個人事業主 選び方,100,圏外,-,-,-,20,低,2026/06/01,リライト,https://paytner.co.jp/paytter/factoring/4139/,失敗しないファクタリング会社の選び方5つのポイント。
T3: ファクタリング 個人事業主 比較,クラスター,ファクタリング 個人事業主 注意点,70,圏外,-,-,-,10,低,,吸収,https://paytner.co.jp/paytter/factoring/4139/,ファクタリング利用時の注意点・トラブル事例と防止策。
T4: 請求書買取 フリーランス,ピラー,請求書買取 フリーランス,40,圏外,-,-,-,140,高,2026/03/05,リライト,https://paytner.co.jp/paytter/factoring/5486/,フリーランス向け請求書買取完全ガイドとして5486をリライト。仕組み・メリット・手数料・利用手順を網羅。CPC$12の高収益KW。
T4: 請求書買取 フリーランス,クラスター,請求書 買取 / 請求書買取,2800,17位,-,-,-,-,高,2026/06/01,吸収,https://paytner.co.jp/paytter/factoring/5486/,ピラー記事で主要KW「請求書買取」をカバー。
T4: 請求書買取 フリーランス,クラスター,請求書 現金化,400,圏外,-,-,-,80,中,2026/06/01,新規作成,,CPC$13。「請求書を現金化する方法」を主題に、合法的な資金調達手段としてのポジショニング確立。
T4: 請求書買取 フリーランス,クラスター,請求書買取 おすすめ,100,圏外,-,-,-,20,低,2026/06/01,新規作成,,請求書買取サービスおすすめ比較記事。手数料・入金スピード・対応金額で比較。
T4: 請求書買取 フリーランス,クラスター,請求書買取 即日,50,圏外,-,-,-,10,低,2026/06/01,新規作成,,即日対応の請求書買取サービス比較。T2ピラーとの内部リンク。
T4: 請求書買取 フリーランス,クラスター,請求書買取サービス,600,圏外,-,-,-,-,-,,吸収,https://paytner.co.jp/paytter/factoring/5486/,ピラー「請求書買取 フリーランス」記事内で網羅。
T4: 請求書買取 フリーランス,クラスター,請求書買取とは,70,圏外,-,-,-,-,-,,吸収,https://paytner.co.jp/paytter/factoring/5486/,ピラー冒頭の「請求書買取とは」セクションで吸収。
T4: 請求書買取 フリーランス,クラスター,請求書買取 メリット,,圏外,-,-,-,-,中,,リライト,https://paytner.co.jp/paytter/factoring/5562/,
T5: オンラインファクタリング,ピラー,オンラインファクタリング,400,圏外,,,,,高,2026/03/05,リライト,https://paytner.co.jp/paytter/service/11856/,
T5: オンラインファクタリング,クラスター,オンラインファクタリング 即日,70,,,,,,低,,リライト,https://paytner.co.jp/paytter/factoring/4567/,
T5: オンラインファクタリング,クラスター,完全オンライン ファクタリング,70,,,,,,低,,リライト,https://paytner.co.jp/paytter/factoring/4603/,
T5: オンラインファクタリング,クラスター,24時間 完全オンライン ファクタリング,60,,,,,,低,,リライト,-,
T5: オンラインファクタリング,クラスター,完全オンラインファクタリング 即日,50,,,,,,低,,リライト,-,
T6: 請求書 先払い,ピラー,請求書 先払い,200,9位,,,,,高,2026/03/05,新規作成,,
T7: 請求書 クレカ払い,ピラー,ファクタリング 闇金,150,,,,,,高,2026/03/05,リライト,https://paytner.co.jp/paytter/factoring/2221/,
T8: 消費者金融 個人事業主,ピラー,消費者金融 個人事業主,200,,,,,,高,2026/03/05,新規作成,,
T9: ペイトナー 評判,ピラー,ペイトナー 評判 / 口コミ,1400,12位(口コミ),17(口コミ),1417,1.20%,80,高,2026/03/05,リライト,https://paytner.co.jp/paytter/service/7638/,"「ペイトナーの評判・口コミを徹底調査」として新規作成。実ユーザーの声、メリット・デメリット、他社比較を客観的に整理。
手数料の記載は少なめにして、内部接続"
T9: ペイトナー 評判,クラスター,ペイトナー 審査落ち,350,10位,86,1333,6.45%,70,高,2026/06/01,リライト,https://paytner.co.jp/paytter/factoring/10209/,審査落ちの原因と対策を具体的に解説。再申請のコツ、必要書類の揃え方。GSCで86クリック/1333表示あり。
T9: ペイトナー 評判,クラスター,ペイトナー 怪しい,150,圏外,-,-,-,30,中,,吸収,https://paytner.co.jp/paytter/service/7638/,「ペイトナーは怪しい？」に正面から回答。運営会社情報・資本金・登録番号・メディア掲載実績で信頼性を証明。
T9: ペイトナー 評判,クラスター,ペイトナー 手数料,150,圏外,72,779,9.24%,30,中,2026/06/01,新規作成,,ペイトナーの手数料体系を詳細解説。競合比較表付き。手数料を下げるコツ。
T9: ペイトナー 評判,クラスター,ペイトナー 審査,70,圏外,45,382,11.78%,-,低,,吸収,https://paytner.co.jp/paytter/service/7638/,審査落ち記事内で審査全般を解説。
T9: ペイトナー 評判,クラスター,ペイトナー 審査落ち 5ch,150,圏外,-,-,-,-,低,,吸収,https://paytner.co.jp/paytter/service/7638/,5ch/掲示板の口コミまとめを審査落ち記事内に記載。
T9: ペイトナー 評判,ピラー,ペイトナー 先払い,200,9位,,,,,高,2026/03/05,リライト,https://paytner.co.jp/paytter/factoring/974/,
T10: ファクタリング 少額,ピラー,ファクタリング 少額,500,58位,-,-,-,100,高,2026/04/01,リライト,https://paytner.co.jp/paytter/factoring/11978/,「少額ファクタリングおすすめサービス比較」。1万・5万・10万円の金額帯別に整理。ペイトナーの最低金額の低さを差別化。
T10: ファクタリング 少額,クラスター,フリーランス ファクタリング,500,24位,-,-,-,50,中,,吸収,https://paytner.co.jp/paytter/factoring/11978/,フリーランス向けファクタリング完全ガイド。請求書発行→買取フロー。確定申告での処理方法。
T10: ファクタリング 少額,クラスター,フリーランス ファクタリング 少額,20,圏外,-,-,-,-,-,,吸収,https://paytner.co.jp/paytter/factoring/11978/,ピラー記事で吸収。
T10: ファクタリング 少額,クラスター,給料ファクタリング / 給与ファクタリング,1600,42位,13,932,1.39%,110,中,2026/06/01,リライト,https://paytner.co.jp/paytter/factoring/7557/,「給料ファクタリングとは？違法性と安全な代替手段」にリポジショニング。リスク解説→合法的な請求書ファクタリングへ誘導。
T10: ファクタリング 少額,クラスター,ファクタリング 10万円,60,圏外,-,-,-,10,低,2026/06/01,新規作成,,10万円のファクタリング利用ガイド。手数料シミュレーション付き。
T10: ファクタリング 少額,クラスター,少額ファクタリング 他社利用中,50,圏外,-,-,-,10,低,2026/07/01,新規作成,,他社利用中でも少額ファクタリングが使えるかを解説。乗り換え・追加利用の方法。
T11 資金繰り・資金調達,ピラー,資金繰り 改善,1200,圏外,-,-,-,120,高,2026/04/01,リライト,https://paytner.co.jp/paytter/factoring/10802/,「個人事業主・フリーランスの資金繰り改善方法7選」を新規作成。資金繰り表の作り方→改善策としてファクタリング紹介→ペイトナーCTA。
T11 資金繰り・資金調達,クラスター,売掛金 回収,1300,圏外,-,-,-,130,高,2026/07/01,新規作成,,「売掛金の回収を早める方法」を主題に新規作成。回収遅延リスク→早期回収手段としてファクタリング紹介。
T11 資金繰り・資金調達,クラスター,個人事業主 資金調達,700,65位,-,-,-,70,高,2026/07/01,リライト,https://paytner.co.jp/paytter/factoring/10815/,「個人事業主の資金調達方法まとめ」。融資・助成金・ファクタリング・クラウドファンディングを比較。TP4600と高い。
T11 資金繰り・資金調達,クラスター,売掛金 ファクタリング,150,圏外,-,-,-,30,中,2026/07/01,新規作成,,「売掛金をファクタリングで現金化する方法」。売掛金の基礎知識→ファクタリングの仕組み→利用フロー。
T11 資金繰り・資金調達,クラスター,売掛金 現金化,100,圏外,-,-,-,20,中,2026/07/01,新規作成,,T3「請求書現金化」と関連。売掛金を現金に変える合法的な方法。
T11 資金繰り・資金調達,クラスター,売掛金 担保,90,圏外,-,-,-,10,低,2026/07/01,新規作成,,売掛金担保融資vsファクタリングの比較。それぞれのメリデメ。
T11 資金繰り・資金調達,クラスター,個人事業主 運転資金,80,圏外,-,-,-,10,低,2026/07/01,リライト,https://paytner.co.jp/paytter/factoring/10846/,運転資金の調達方法。銀行融資が通らない場合のファクタリング活用。
T11 資金繰り・資金調達,クラスター,フリーランス 資金繰り,80,圏外,-,-,-,10,中,2026/07/01,新規作成,,フリーランス特有の資金繰り課題（入金サイクル・季節変動）と対策。ファクタリングの活用事例。
T11 資金繰り・資金調達,クラスター,個人事業主 キャッシュフロー,70,圏外,-,-,-,10,低,2026/07/01,新規作成,,キャッシュフロー改善の実践ガイド。請求書の支払いサイト交渉・ファクタリング活用。
T11 資金繰り・資金調達,クラスター,運転資金 調達,50,圏外,-,-,-,5,低,,吸収,https://paytner.co.jp/paytter/factoring/10846/,運転資金の調達方法一覧。融資・ファクタリング・助成金の比較。
T11 資金繰り・資金調達,クラスター,資金ショート 対策,40,圏外,-,-,-,10,中,,吸収,https://paytner.co.jp/paytter/factoring/10802/,資金ショート直前の緊急対策。即日資金調達としてのファクタリング。高CVR記事。
T11 資金繰り・資金調達,クラスター,個人事業主 融資 審査通らない,-,圏外,-,-,-,5,中,2026/07/01,新規作成,,銀行融資に断られた個人事業主向け。融資以外の資金調達（ファクタリング・助成金）を紹介。
T11 資金繰り・資金調達,クラスター,つなぎ資金 個人,-,圏外,-,-,-,5,低,2026/08/03,新規作成,,つなぎ資金の調達方法。入金待ちの間の資金繰りとしてファクタリング活用。
T11 資金繰り・資金調達,クラスター,売掛金 回収 早期,-,圏外,-,-,-,-,低,2026/08/03,新規作成,,売掛金回収記事の「早期回収」セクションで網羅。
T11 資金繰り・資金調達,クラスター,WEBデザイナー 資金繰り,-,圏外,-,-,-,5,低,2026/09/01,リライト,https://paytner.co.jp/paytter/user-voice/58/,WEBデザイナー・クリエイター向け資金繰りガイド。案件の入金サイクル（納品→検収→請求→入金60日）の課題とファクタリング活用事例。他業種（ライター・エンジニア・動画編集者）も併記。
T13: 請求書 買取,クラスター,フリーランス 請求書買取,80,,,,,,,,,,
T13: 請求書 買取,クラスター,請求書買取 個人,80,,,,,,,,,,
T13: 請求書 買取,クラスター,請求書買取とは,70,,,,,,,,,,
T13: 請求書 買取,クラスター,請求書買取 審査甘い,70,,,,,,,,,,
T13: 請求書 買取,クラスター,請求書 買取 個人,60,,,,,,,,,,
T13: 請求書 買取,クラスター,請求書 買取 フリーランス,60,,,,,,,,,,
T13: 請求書 買取,クラスター,ワンバンク 請求書買取,50,,,,,,,,,,
T13: 請求書 買取,クラスター,請求書買取 デメリット,50,,,,,,,,,,
T13: 請求書 買取,クラスター,"請求書,買取",50,,,,,,,,,,
T13: 請求書 買取,クラスター,請求書買取 即日,50,,,,,,,,,,
T13: 請求書 買取,クラスター,請求 書 買取 即日,50,,,,,,,,,,
T14: 確定申告 入門,ピラー,確定申告 全くわからない,27000,未取得,-,-,-,1620,高,2026/04/01,新規作成,,"【コンテンツギャップ】labol.co.jp(DR56)が1位取得。Paytnerに初心者向け確定申告ガイドが存在しない。「確定申告の全体像→必要書類→手順→注意点→FAQ」の網羅的入門記事を作成。既存記事「業務委託 確定申告」(1位)「個人事業主 確定申告」(3位)との内部リンク設計が重要。labolの記事URL: /columns/money/no-idea-income-tax-return/"
T14: 確定申告 入門,クラスター,確定申告しないとどうなる,9600,未取得,-,-,-,576,高,2026/05/01,新規作成,,"【コンテンツギャップ】labol.co.jpが74位と弱いため先行者優位あり。確定申告をしなかった場合のペナルティ（無申告加算税・延滞税・青色取消）を具体的な金額例付きで解説。恐怖訴求→「今からでも間に合う」で確定申告入門記事へ誘導。"
T14: 確定申告 入門,クラスター,確定申告 いくらから,19000,56位,-,-,-,570,高,2026/05/01,リライト,https://paytner.co.jp/paytter/freelance/4934/,"【コンテンツギャップ】Vol 19,000で56位。記事は存在するが検索意図との不一致で順位低迷。「副業20万円ルール」「個人事業主48万円基準」等の判定フローチャートを冒頭に配置し、検索意図に直球で回答する構成にリライト。"
T14: 確定申告 入門,クラスター,確定申告 必要ない人,3300,未取得,-,-,-,198,中,2026/05/01,新規作成,,"【コンテンツギャップ】labol.co.jpが56位。「確定申告が不要な人」の条件を表形式で整理。ただし「不要でも申告した方が得なケース」（還付申告）を解説し、Paytterブログへの回遊を促進。"
