カテゴリー,タスクの内容,日付,対応メンバー,ステータス
,,,,Archive
6.EEAT・YMYL施策,独自性のある情報を持っているかの確認,2026年5月4日 → 2026年5月7日,古山さん,ToDo
6.EEAT・YMYL施策,独自性のある情報を基に記事コンテンツを制作-骨子,2026年5月7日 → 2026年5月12日,"ライター, 野中力斗",ToDo
6.EEAT・YMYL施策,独自性のある情報を基に記事コンテンツを制作-骨子を古山さんに確認いただく,2026年5月12日 → 2026年5月14日,古山さん,Archive
6.EEAT・YMYL施策,独自性のある情報を基に記事コンテンツを制作-骨子修正,2026年5月18日 → 2026年5月20日,"ライター, 野中力斗",Archive
6.EEAT・YMYL施策,独自性のある情報を基に記事コンテンツを制作-本文制作,2026年5月20日 → 2026年5月25日,ライター,Archive
6.EEAT・YMYL施策,独自性のある情報を基に記事コンテンツを制作-本文検収,2026年5月25日 → 2026年5月29日,野中力斗,Archive
6.EEAT・YMYL施策,独自性のある情報を基に記事コンテンツを制作-本文を古山さんに確認いただく,2026年6月1日 → 2026年6月3日,古山さん,Archive
6.EEAT・YMYL施策,独自性のある情報を基に記事コンテンツを制作-最終調整,2026年6月3日 → 2026年6月8日,"ライター, 野中力斗",Archive
6.EEAT・YMYL施策,独自性のある情報を基に記事コンテンツを制作-公開,2026年6月9日 → 2026年6月11日,"ライター, 野中力斗",Archive
,クリエイティブ制作,2026年4月29日 → 2026年5月5日,デザイナー,ToDo
,実装対応,2026年5月6日 → 2026年5月8日,"コーダー, 野中力斗",ToDo
,クリエイティブのTDをすり合わせる,2026年4月23日 → 2026年4月28日,野中力斗,ToDo
1.コンテンツ施策,今後半年間のコンテンツ制作・リライトするkwを選定する,2026年3月2日 → 2026年3月4日,野中力斗,ToDo
1.コンテンツ施策,制作・リライトするkwの優先度を整理する,2026年3月5日 → 2026年3月6日,野中力斗,ToDo
1.コンテンツ施策,3月分の記事制作・リライト,2026年3月7日 → 2026年3月31日,"ライター, 古山さん, 野中力斗",ToDo
2.ディレクション,KPIの全体感とタスクごとの数値進捗の数値感を設定する,2026年2月20日 → 2026年2月27日,"甲斐聖史, 野中力斗",ToDo
2.ディレクション,コンテンツの公開フローを決める・チェックリスト,2026年3月2日 → 2026年3月11日,"甲斐聖史, 野中力斗",ToDo
3.外部施策,被リンク営業実施,2026年3月1日 → 2026年8月31日,野中力斗,ToDo
4.CV施策,それぞのCTAに埋めこれからパラメーターを記事ごとに設定し直す,2026年3月2日 → 2026年3月31日,野中力斗,ToDo
4.CV施策,数値計測のルールを決める,2026年3月16日 → 2026年3月20日,野中力斗,ToDo
4.CV施策,Q&A導線をNotionから切り替える,2026年4月1日 → 2026年4月10日,野中力斗,ToDo
4.CV施策,クリエイティブ制作・TDのABテストを実施する,2026年4月1日 → 2026年4月15日,野中力斗,ToDo
,クリエイティブ制作でTD案とクリエイティブの方向性をすり合わせる,2026年4月1日 → 2026年4月7日,野中力斗,ToDo
,クリエイティブ制作,2026年4月7日 → 2026年4月13日,デザイナー,ToDo
,対象記事の選定,2026年4月1日 → 2026年4月6日,野中力斗,ToDo
,対象記事の設置,2026年4月7日 → 2026年4月15日,"ライター, 入稿者",ToDo
,週次ごとに効果検証,2026年4月16日 → 2026年4月22日,野中力斗,ToDo
4.CV施策,"ポップアップ,追従CTAのABテスト",2026年4月17日 → 2026年5月8日,野中力斗,ToDo
,ポップアップ・追従バナーの開発要件を決める,2026年4月17日 → 2026年4月22日,"コーダー, 野中力斗",ToDo
5.内部施策,リダイレクト設定が適切に設定されているかの確認,2026年4月15日 → 2026年4月21日,野中力斗,ToDo
5.内部施策,URLは正規化されているのかの確認,2026年4月16日 → 2026年4月22日,野中力斗,ToDo
5.内部施策,PageSpeedinsightを活用した修正項目の整理,2026年5月5日 → 2026年5月11日,野中力斗,ToDo
6.EEAT・YMYL施策,適切な著者・監修者を採用し露出させる,2026年5月4日 → 2026年5月15日,野中力斗,ToDo
6.EEAT・YMYL施策,独自性のあるコンテンツ制作,2026年5月4日 → 2026年6月11日,"ライター, 古山さん, 野中力斗",ToDo
6.EEAT・YMYL施策,プラポリをはじめとしたポリシーページの確認・制作,2026年5月7日 → 2026年5月8日,野中力斗,ToDo
,,,,Archive
,,,,Archive
1.コンテンツ施策,3月分の記事の構成案を作成する,2026年3月7日 → 2026年3月10日,"ライター, 野中力斗",ToDo
1.コンテンツ施策,3月分の構成案を確認いただく,2026年3月11日 → 2026年3月13日,古山さん,ToDo
1.コンテンツ施策,3月分の構成案の修正を行う,2026年3月14日 → 2026年3月16日,"ライター, 野中力斗",ToDo
1.コンテンツ施策,3月分の記事の制作を進める,2026年3月14日 → 2026年3月18日,"ライター, 野中力斗",ToDo
1.コンテンツ施策,3月分の記事の検収を依頼する,2026年3月18日 → 2026年3月20日,古山さん,ToDo
1.コンテンツ施策,3月分の記事の修正を対応,2026年3月21日 → 2026年3月23日,"ライター, 野中力斗",ToDo
1.コンテンツ施策,3月分の記事の入稿対応と、入稿フローに沿って最終確認を依頼するまで対応する,2026年3月23日 → 2026年3月26日,"ライター, 野中力斗",ToDo
1.コンテンツ施策,3月分の記事公開,2026年3月26日 → 2026年3月29日,"古山さん, 野中力斗",ToDo