トピック,役割,ターゲットKW,検索Vol,KD,現在順位,優先度,GSCクリック(3M),GSC表示(3M),GSC CTR,見込み増加/月,優先度,施策タイプ,既存URL,備考（リライト方針エグゼクティブサマリー）
C1: ハイヤーとは（法人・全体ハブ）,ピラー,ハイヤーとは / ハイヤー 意味,4200〜5000,中,5位/12位（カニバリ）,高,13,18823,0.07%,280,高,リライト（統合）,https://vip-limo.jp/articles/ハイヤーのサービスと利用シーン/ + /articles/高級感と快適さを両立！リムジンハイヤーの魅力/,記事②を①に統合（301リダイレクト）。6000字超に拡充。法人利用・宿泊施設活用の各シーンを追加しB/Cセグメント専用記事への誘導ハブ化。GSC: 「ハイヤーとは」+「ハイヤー とは」合算
C1: ハイヤーとは（法人・全体ハブ）,クラスター,ハイヤー タクシー 違い,1500〜2500,中,8位〜10位,中,21,16272,0.13%,155,中,リライト,https://vip-limo.jp/articles/ハイヤーとタクシーの違い7選/,法人が「なぜタクシーでなくハイヤーか」の視点強化。コスト比較表・守秘義務・専属ドライバー追加。GSC: 4パターン合算
C1: ハイヤーとは（法人・全体ハブ）,クラスター,ハイヤー 料金 / ハイヤー 料金 相場,2000〜3000,中,圏外（②が部分カバー）,低,-,-,-,100,中,新規作成,-,法人の予算検討に耐える料金特化記事。空港送迎・時間貸し・法人契約の費用を徹底解説
C1: ハイヤーとは（法人・全体ハブ）,クラスター,観光ハイヤー / 観光タクシー 貸切,500〜1000,低,10位前後,低,9,1155,0.78%,25,中,リライト,https://vip-limo.jp/articles/観光ハイヤーのメリットデメリット/,日本語版は国内旅行者＋宿泊業者向けに改修。GSC: 3クエリ合算
C2: 役員送迎ハイヤー（法人）,ピラー,役員送迎 ハイヤー / 役員車 外注,500〜1000,低〜中,圏外,低,-,-,-,40,高,新規作成,-,セグメントC中核記事。自社保有・リースとのコスト比較。C-2b（役員車コスト比較）は本記事内に統合
C2: 役員送迎ハイヤー（法人）,クラスター,法人 ハイヤー 契約 / 法人 タクシー 契約,300〜500,低,圏外,低,-,-,-,25,中,新規作成,-,請求書払い・月額契約・スポット利用の違いを解説
C2: 役員送迎ハイヤー（法人）,クラスター,秘書 タクシー 手配 / 秘書 ハイヤー 予約,100〜200,低,圏外,低,3,413,0.73%,15,中,新規作成,-,秘書の実務フロー特化ガイド。GSC: 「ハイヤー 手配」関連
C2: 役員送迎ハイヤー（法人）,クラスター,VIP送迎 サービス / VIP 車 手配,200〜400,低,圏外,低,12,930,1.29%,20,低,新規作成,-,セキュリティ・プライバシー・多言語対応で比較。GSC: 3クエリ合算
C2: 役員送迎ハイヤー（法人）,クラスター,接待 ハイヤー / 接待 送迎,100〜200,低,圏外,低,18,1048,1.72%,15,低,新規作成,-,ゴルフ送迎・会食送迎のマナーと手配方法。GSC: 5クエリ合算
D: 空港ハイヤー・送迎LP（地域最適化）,ピラー,空港送迎 / 空港送迎サービス,600〜1000,中,5位,中,16,1179,1.36%,25,高,リライト,https://vip-limo.jp/airport/,空港送迎LPの全体リライト。各空港別LPへのハブ化。B2B訴求セクション追加。法人・旅行会社向け導線設置
D: 空港ハイヤー・送迎LP（地域最適化）,クラスター,羽田空港 ハイヤー / 羽田 ハイヤー,200〜300,中,3位,高,86,659,13.05%,10,高,リライト,https://vip-limo.jp/airport-hnd/,既に3位・CTR13%。料金表・予約フロー・乗り場案内を拡充。/airport_guide_hnd/との連携強化
D: 空港ハイヤー・送迎LP（地域最適化）,クラスター,成田空港 ハイヤー / 成田 ハイヤー,1000〜1500,中,12位,低,51,1511,3.37%,25,高,リライト,https://vip-limo.jp/airport-nrt/,12位→5位圏内が目標。料金比較・成田空港ハイヤー乗り場・予約方法を大幅拡充。最も改善余地が大きい
D: 空港ハイヤー・送迎LP（地域最適化）,クラスター,関空 ハイヤー / 関西空港 ハイヤー,40〜60,低,3位,高,17,121,14.05%,3,中,リライト,https://vip-limo.jp/airport-kix/,既に3位・CTR14%。検索Vol小さいがCTR高い。コンテンツ微拡充
D: 空港ハイヤー・送迎LP（地域最適化）,クラスター,伊丹空港 ハイヤー,20〜30,低,3位,高,15,62,24.19%,2,中,リライト,https://vip-limo.jp/airport-itm/,CTR24%と非常に高い。Volが小さいため大改修は不要。コンテンツ微調整
D: 空港ハイヤー・送迎LP（地域最適化）,クラスター,那覇空港 ハイヤー / 沖縄 ハイヤー,200〜400,低,3位/17位,中,29,446,6.5%,5,中,リライト,https://vip-limo.jp/airport-oka-taxi/ + /okinawa/,那覇空港LP + 沖縄LP2つ存在。カニバリ解消が必要。統合または役割分担を明確化
D: 空港ハイヤー・送迎LP（地域最適化）,クラスター,羽田空港 ハイヤー乗り場 / 成田空港 ハイヤー乗り場,80〜100,低,3位,高,43,232,18.53%,5,中,リライト,https://vip-limo.jp/airport_guide_hnd/ + /airport_guide_nrt/,ガイドページは高CTR（18.5%）。写真・マップ追加でさらに強化。全空港ガイドの統一フォーマット化
E: ハイヤー予約・手配（B2C検討フェーズ）,ピラー,ハイヤー 予約 / ハイヤー 予約方法,800〜1200,中,7位,中,9,1738,0.52%,15,高,新規作成,-,CTR 0.52%と極めて低い＝専用記事なしでTOPページが表示。予約方法の完全ガイドを新規作成。法人・個人別の予約フロー
E: ハイヤー予約・手配（B2C検討フェーズ）,クラスター,ハイヤー アプリ / ハイヤー配車アプリ,50〜80,低,4位,中,10,122,8.2%,5,中,新規作成,-,配車アプリ比較記事。タクシーアプリとの違い・法人利用可能なアプリを紹介
E: ハイヤー予約・手配（B2C検討フェーズ）,クラスター,ハイヤー 手配 / ハイヤー チャーター,500〜1000,低,19位,低,3,413,0.73%,10,中,新規作成,-,19位で表示はあるが専用記事なし。法人・個人別の手配フロー解説。チャーター利用ガイド
E: ハイヤー予約・手配（B2C検討フェーズ）,クラスター,空港送迎 ハイヤー / 空港 ハイヤー,50〜150,低,4位/6位,中,11,134,8.21%,-,-,吸収,-,D-Pピラー（空港送迎LP）内で網羅
F: 車種・高級車送迎,ピラー,アルファード ハイヤー / ハイヤー アルファード,600〜1000,低,10位,低,13,995,1.31%,10,高,リライト,https://vip-limo.jp/articles/快適と高級感を両立！アルファードハイヤーの魅/,既存記事（32 clicks/3327 imps）をリライト。料金・予約方法・車内写真追加。英語版A-8との言語切替リンク設置
F: 車種・高級車送迎,クラスター,高級車 送迎 / 高級車 送迎サービス,400〜800,低,1位/15位,低,7,844,0.83%,20,中,新規作成,-,表示805でクリック2（CTR極低）。専用記事で対策。結婚式・接待・VIP送迎での高級車活用シーン
F: 車種・高級車送迎,クラスター,高級タクシー / 高級ハイヤー,300〜500,中,3位〜5位,中,17,603,2.82%,5,中,リライト,-,TOPページが表示中。専用セクション追加またはC-P1ハブ記事内で対応
F: 車種・高級車送迎,クラスター,リムジン ハイヤー,50〜100,低,7位,中,6,75,8%,-,-,吸収,-,C-P1ピラー記事（ハイヤーとは）内で網羅
G: ゴルフ送迎,ピラー,ゴルフ送迎 / ゴルフ ハイヤー,600〜1000,低,8位〜13位,低,18,1048,1.72%,10,高,リライト,https://vip-limo.jp/golf/,ゴルフLP（66 clicks/2437 imps）のコンテンツ大幅拡充。料金表・予約フロー・対応ゴルフ場一覧マップ追加
G: ゴルフ送迎,クラスター,ゴルフバッグ タクシー / ゴルフ タクシー,70〜120,低,5位,中,5,155,3.23%,3,低,リライト,https://vip-limo.jp/articles/ゴルフバッグもラクラク積載！タクシーでスマー/,既存記事（14 clicks/541 imps）リライト。ゴルフバッグ積載台数・車種別比較追加
G: ゴルフ送迎,クラスター,ゴルフ送迎 安い,20〜50,低,10位,低,3,20,15%,-,-,吸収,-,G-Pピラー（ゴルフLP）内の料金比較セクションで網羅
B: ホテル送迎外注（宿泊業者）,ピラー,ホテル 送迎 外注 / ホテル 送迎サービス 業者,100〜300,低,圏外,低,-,-,-,15,高,新規作成,-,宿泊業者セグメントの中核記事。業者選びのポイントとコスト比較
B: ホテル送迎外注（宿泊業者）,クラスター,旅館 送迎 委託 / 宿泊施設 送迎 手配,50〜200,低,圏外,低,-,-,-,10,低,新規作成,-,自社運行からハイヤー外注に切り替えるべき5つの理由
B: ホテル送迎外注（宿泊業者）,クラスター,ホテル コンシェルジュ タクシー 手配 / ゲスト送迎 ハイヤー,50〜150,低,圏外,低,-,-,-,8,低,新規作成,-,コンシェルジュの実務フローに特化した基礎知識ガイド
B: ホテル送迎外注（宿泊業者）,クラスター,インバウンド ゲスト 送迎 / 外国人 宿泊客 空港送迎,100〜200,低,圏外,低,-,-,-,12,中,新規作成,-,インバウンド対応ノウハウ。セグメントAの英語記事と日本語側で連携
A: Japan Private Car Service（海外旅行会社・英語）,ピラー,japan private car service / japan chauffeur service,500〜1500,中,圏外,低,-,-,-,60,高,新規作成,-,英語ピラーページ。包括的ガイド。競合にB2Bコンテンツがなくチャンス大。/en/blog/配下に新設。※Vol推定値
A: Japan Private Car Service（海外旅行会社・英語）,クラスター,japan airport transfer / private airport transfer japan,1000〜3000,高,圏外,低,-,-,-,120,高,新規作成,-,検索ボリューム最大。空港別（成田・羽田・関西）の詳細比較が差別化ポイント。※Vol推定値
A: Japan Private Car Service（海外旅行会社・英語）,クラスター,japan ground transportation for travel agents,50〜200,低,圏外,低,-,-,-,10,高,新規作成,-,ボリュームは小さいがCVR極めて高い。旅行会社の手配実務に特化。※Vol推定値
A: Japan Private Car Service（海外旅行会社・英語）,クラスター,hire car japan / car hire with driver japan,300〜800,中,圏外,低,-,-,-,40,中,新規作成,-,旅行会社がクライアント向けに車両手配を検討する際の比較情報。※Vol推定値
A: Japan Private Car Service（海外旅行会社・英語）,クラスター,japan private tour car / sightseeing car japan,200〜500,中,圏外,低,-,-,-,25,中,新規作成,-,ツアーオペレーターがプライベートツアーの車両を探す際に対応。※Vol推定値
A: Japan Private Car Service（海外旅行会社・英語）,クラスター,japan DMC transportation / japan land operator transfer,30〜100,低,圏外,低,-,-,-,5,低,新規作成,-,ニッチだがCVR最高。DMC/ランドオペレーター向け業界専門コンテンツ。※Vol推定値
A: Japan Private Car Service（海外旅行会社・英語）,クラスター,MICE transportation Japan / corporate event transfer Japan,10〜50,低,圏外,低,-,-,-,3,低,新規作成,-,超ニッチだが高単価案件。法人イベント・カンファレンスの送迎手配。※Vol推定値
A: Japan Private Car Service（海外旅行会社・英語）,クラスター,Japan cruise port transfer / shore excursion transportation Japan,50〜200,低〜中,圏外,低,-,-,-,10,低,新規作成,-,クルーズ業界の成長に伴い需要増。港別ガイド形式で差別化。※Vol推定値
A: Japan Private Car Service（海外旅行会社・英語）,クラスター,Japan Alphard hire / Toyota Alphard charter Japan,50〜200,低,圏外,低,-,-,-,10,中,新規作成,-,車種指名検索。アルファードは訪日VIP送迎で最も需要の高い車種。日本語版F-Pと連携。※Vol推定値
H: ブランドKW（vipハイヤー配車）,ピラー,vipハイヤー配車 口コミ / 評判,80〜120,低,1位,高,49,256,19.14%,5,高,リライト,https://vip-limo.jp/voice/,口コミページは既に1位・CTR19%。レビュー数追加・利用シーン別体験談・星評価スキーマ追加でCTR改善
H: ブランドKW（vipハイヤー配車）,クラスター,vipハイヤー配車 クーポンコード,20〜30,低,1位,高,43,71,60.56%,5,中,新規作成,-,CTR60%の高指名検索。専用クーポンページ新設でCV率最大化。LPからの導線設計
H: ブランドKW（vipハイヤー配車）,クラスター,vipハイヤー配車 安全,15〜20,低,2位,高,13,47,27.66%,4,中,新規作成,-,安全性アピールページ新設。ドライバー教育・保険・車両点検等の安全対策を掲載
H: ブランドKW（vipハイヤー配車）,クラスター,vipハイヤー / vipタクシー,200〜400,低,1位,高,361,688,52.47%,-,-,吸収,-,ブランド指名KW。TOPページで対応中（CTR52%）。LP内のCTA最適化でCVR改善
I: 空港定額タクシー（既存記事最適化）,ピラー,成田空港 定額タクシー 比較 / 安い,300〜400,低,2位,高,93,864,10.76%,8,高,リライト,https://vip-limo.jp/articles/【成田空港】発着定額タクシー徹底比較ガイド/,定額タクシー比較ガイドは2位・CTR11%。最新料金データ更新・MKタクシー等の比較表強化
I: 空港定額タクシー（既存記事最適化）,クラスター,羽田空港 定額タクシー 比較 / 格安,1500〜2500,中,4位〜8位,中,89,2864,3.11%,20,高,リライト,https://vip-limo.jp/articles/羽田空港発着の安いタクシー活用術/,インプレッション最大級。比較表・料金シミュレーター追加。CTR改善余地大（3%→5%で+19/月）
I: 空港定額タクシー（既存記事最適化）,クラスター,那覇空港 タクシー 定額 / 沖縄 定額タクシー,200〜400,低,8位,中,34,401,8.48%,10,中,新規作成,-,那覇空港からの定額タクシー完全ガイド。主要ホテル・観光地への料金一覧
I: 空港定額タクシー（既存記事最適化）,クラスター,関西空港 タクシー 定額 / 関空 送迎タクシー,200〜400,低,5位〜8位,中,18,449,4.01%,5,中,リライト,https://vip-limo.jp/airport-kix-taxi/,関空タクシーLPのコンテンツ拡充。定額料金表・エリア別料金追加